chunk_id,article_url,article_title,section_category,chunk_index,total_chunks_in_article,word_count,estimated_tokens,chunk_type,has_code,has_list,heading_breadcrumb
halo_3ee70b90_000_3731dd553fc4,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,0,9,217,292,structural_h2,False,False,Introduction to HaloPSA
halo_3ee70b90_001_eff017f1d652,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,1,9,366,494,fixed_window,False,False,Introduction to HaloPSA > Section 1 > (part 1)
halo_3ee70b90_002_d3c6b001172a,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,2,9,143,193,fixed_window,False,False,Introduction to HaloPSA > Section 1 > (part 2)
halo_3ee70b90_003_7545b368f2ac,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,3,9,366,494,fixed_window,False,False,Introduction to HaloPSA > Section 2 > (part 1)
halo_3ee70b90_004_b142d98608e9,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,4,9,143,193,fixed_window,False,False,Introduction to HaloPSA > Section 2 > (part 2)
halo_3ee70b90_005_4525ec138421,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,5,9,366,494,fixed_window,False,False,Introduction to HaloPSA > Section 3 > (part 1)
halo_3ee70b90_006_d528700b25d9,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,6,9,143,193,fixed_window,False,False,Introduction to HaloPSA > Section 3 > (part 2)
halo_3ee70b90_007_9f14a0e09ecf,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,7,9,366,494,fixed_window,False,False,Introduction to HaloPSA > Section 4 > (part 1)
halo_3ee70b90_008_707ef70f53b9,https://usehalo.com/guide/introduction-to-halopsa/,Introduction to HaloPSA,An Introduction to HaloPSA,8,9,143,193,fixed_window,False,False,Introduction to HaloPSA > Section 4 > (part 2)
halo_bb330a72_000_51037f1f1ea9,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,0,9,181,244,structural_h2,False,False,Self Service Portal
halo_bb330a72_001_a092fdd0e7dd,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,1,9,365,492,fixed_window,False,False,Self Service Portal > Section 1 > (part 1)
halo_bb330a72_002_677956f69d8e,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,2,9,62,83,fixed_window,False,False,Self Service Portal > Section 1 > (part 2)
halo_bb330a72_003_54524eb52389,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,3,9,365,492,fixed_window,False,False,Self Service Portal > Section 2 > (part 1)
halo_bb330a72_004_677956f69d8e,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,4,9,62,83,fixed_window,False,False,Self Service Portal > Section 2 > (part 2)
halo_bb330a72_005_ded4606da2e2,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,5,9,365,492,fixed_window,False,False,Self Service Portal > Section 3 > (part 1)
halo_bb330a72_006_677956f69d8e,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,6,9,62,83,fixed_window,False,False,Self Service Portal > Section 3 > (part 2)
halo_bb330a72_007_06c6b6791135,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,7,9,365,492,fixed_window,False,False,Self Service Portal > Section 4 > (part 1)
halo_bb330a72_008_677956f69d8e,https://usehalo.com/guide/self-service-portal/,Self Service Portal,Self Service Portal,8,9,62,83,fixed_window,False,False,Self Service Portal > Section 4 > (part 2)
halo_e627317e_000_636d6e301e89,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,0,9,158,213,structural_h2,False,False,Super Ops RMM Integration
halo_e627317e_001_e03530a89a5e,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,1,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 1
halo_e627317e_002_d5a20e5454b1,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,2,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 2
halo_e627317e_003_6253a16d3135,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,3,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 3
halo_e627317e_004_0de6897446fc,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,4,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 4
halo_e627317e_005_e49e361ec0b7,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,5,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 5
halo_e627317e_006_e5a9549a8b5f,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,6,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 6
halo_e627317e_007_0efbf4e25f6d,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,7,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 7
halo_e627317e_008_1cd7df08c070,https://usehalo.com/guide/super-ops-rmm-integration/,Super Ops RMM Integration,Integrations,8,9,176,237,structural_h2,False,False,Super Ops RMM Integration > Section 8
halo_a4822602_000_3ee790bace60,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,0,7,173,233,structural_h2,False,False,Scheduled Tickets
halo_a4822602_001_0a8061e164d9,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,1,7,247,333,structural_h2,False,False,Scheduled Tickets > Section 1
halo_a4822602_002_92ef5a2db3b1,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,2,7,247,333,structural_h2,False,False,Scheduled Tickets > Section 2
halo_a4822602_003_76ef02db061c,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,3,7,247,333,structural_h2,False,False,Scheduled Tickets > Section 3
halo_a4822602_004_bae427eea742,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,4,7,247,333,structural_h2,False,False,Scheduled Tickets > Section 4
halo_a4822602_005_fe3c528f1c65,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,5,7,247,333,structural_h2,False,False,Scheduled Tickets > Section 5
halo_a4822602_006_1dc2db6ef785,https://usehalo.com/guide/scheduled-tickets-2/,Scheduled Tickets,Tickets,6,7,247,333,structural_h2,False,False,Scheduled Tickets > Section 6
halo_0bdcaea5_000_d33d49ce6828,https://usehalo.com/guide/email-general-settings/,Email (General Settings),Email Configuration,0,3,72,97,structural_h2,False,False,Email (General Settings)
halo_0bdcaea5_001_f45d0876f122,https://usehalo.com/guide/email-general-settings/,Email (General Settings),Email Configuration,1,3,362,488,fixed_window,False,False,Email (General Settings) > Section 1 > (part 1)
halo_0bdcaea5_002_8ecba966f33b,https://usehalo.com/guide/email-general-settings/,Email (General Settings),Email Configuration,2,3,270,364,fixed_window,False,False,Email (General Settings) > Section 1 > (part 2)
halo_06e20ff0_000_c4dff7ecfc39,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,0,7,175,236,structural_h2,False,False,Azure DevOps Integration
halo_06e20ff0_001_67fff9dfa6ab,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,1,7,266,359,structural_h2,False,False,Azure DevOps Integration > Section 1
